2026-09-15T07:04:40.391238+10:00 compare develop...a4d182bf9 via GitHub API
merge_base=346b491f27fb1cbf4d72cc1c86d417d0252a5f84 ahead=8 behind=14 status=diverged files=11
 - Blockchain/Dev/docs/openapi/secuura-api.yaml modified 122d3a2f84cf77bf2b7e2dc51489a0d5f823db1f +1 -0
 - Blockchain/Dev/services/anchoring/src/__tests__/ks726-gate-f1-unreachable-chain.test.ts added 82058c305ffaf375ef7941351063d4f236f878b9 +187 -0
 - Blockchain/Dev/services/anchoring/src/__tests__/ks726-review-f1-f3.test.ts added 6dc62c8dbcc1ff462b33af8b50ea0ffee5d4643f +153 -0
 - Blockchain/Dev/services/anchoring/src/__tests__/ks726-write-ahead-tx-hash.test.ts added ea5495f58ec40fde9c462f8f3c56f450924229ec +462 -0
 - Blockchain/Dev/services/anchoring/src/anchorSubmission.ts modified d3ad106d8e5764a526456b3218e1e8d9ad1a38ba +263 -21
 - Blockchain/Dev/services/anchoring/src/anchoring.openapi.ts modified 49b8b38da7764e071711ded751fa006ae21e808d +10 -1
 - Blockchain/Dev/services/anchoring/src/cardano/confirmation.ts modified 5690eb24fe8dca6ac175fec021031524d6904221 +25 -1
 - Blockchain/Dev/services/anchoring/src/cardano/index.ts modified d7b44482d54dd35550536cd3c24c0d9a4fb87c3f +76 -2
 - Blockchain/Dev/services/anchoring/src/index.ts modified da4abd43292186da45c1533017fe042fa512bd43 +127 -6
 - Blockchain/Dev/services/anchoring/src/reconciler.ts modified 55e2fe6949bc0e1c200e4ea314bd5262e2886bca +7 -1
 - Blockchain/Dev/services/anchoring/src/verifyAnchorStatus.ts added b8b73078e456916c9d3d47c350046758975a1208 +47 -0
