head EXPORT ORIGINATE_FORWARD_TIMEOUT_MS = 15000
head   O-201                                b=800                  -> 200            13ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [] | unh [] | census {}
head   O-200                                b=800                  -> 200             8ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [] | unh [] | census {}
head   O-204                                b=800                  -> 200             3ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [] | unh [] | census {}
head   O-302                                b=800                  -> 502             7ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [] | unh [] | census {}
head   O-401                                b=800                  -> 502             6ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [] | unh [] | census {}
head   O-500                                b=800                  -> 502             7ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [] | unh [] | census {}
head   O-closed-port                        b=800                  -> 502             8ms hitsA 0 delA 0 | hitsF 0 delF 0 created 0 kept True inst approved | 2nd - | err [(5, 'connect ECONNREFUSED 127.0.0.1:1')] | unh [] | census {}
head   O-destroy-before-headers             b=800                  -> 502             5ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [(3, 'socket hang up')] | unh [] | census {}
head   O-never-answers                      b=800                  -> 502           812ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [(810, 'originate did not answer within 800 ms')] | unh [] | census {}
head   O-late-201-bound+700                 b=800                  -> 502           806ms hitsA 1 delA 0 | hitsF 1 delF 0 created 0 kept True inst approved | 2nd - | err [(804, 'originate did not answer within 800 ms')] | unh [] | census {}
head   O-late-201-persist-then-lost+retry   b=800                  -> 502           806ms hitsA 1 delA 0 | hitsF 1 delF 0 created 1 kept True inst approved | 2nd (400, '{"success":false,"error":{"code":"BAD_REQUEST","me') | err [(804, 'originate did not answer within 800 ms')] | unh [] | census {}
head   O-201-mid-body-reset                 b=800                  -> 200             6ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [] | unh [] | census {}
head   O-201-body-never-ends                b=800                  -> 200             6ms hitsA 1 delA 1 | hitsF 1 delF 1 created 0 kept False inst approved | 2nd - | err [(806, 'originate did not answer within 800 ms')] | unh [] | census {}
