id   | base UTC (http hits verified confidence tx height hashValid source) | head UTC                                             | flip?                                                | TZ: head Sydney / base Sydney
S01  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') | FLIP |   -- eq block 100, OLDER listed first, both confirmed
S02  | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') |  |   -- eq block 100, NEWER listed first (control)
S03  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, False, 'off-chain-only', 'eeeeeeee', 100, True, 'persisted') | FLIP VERDICT |   -- eq block: older CONFIRMED first, newer FAILED second
S04  | (200, 1, False, 'off-chain-only', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') | FLIP VERDICT |   -- eq block: older FAILED first, newer CONFIRMED second
S05  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, False, 'pending-onchain', 'eeeeeeee', 100, True, 'persisted') | FLIP VERDICT |   -- eq block: older CONFIRMED first, newer SUBMITTED second
S06  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, False, 'off-chain-only', 'eeeeeeee', 100, True, 'persisted') | FLIP VERDICT |   -- eq block: UNDATED confirmed first, DATED failed second
S07  | (200, 1, False, 'pending-onchain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') | FLIP VERDICT |   -- eq block: UNDATED submitted first (anchoring created_at DESC shape), DATED confirmed second
S08  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, False, 'on-chain', 'eeeeeeee', 100, False, 'persisted') | FLIP VERDICT |   -- eq block: older contentHash X first, newer Y second; request X
S09  | (200, 1, False, 'on-chain', 'aaaaaaaa', 100, False, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') | FLIP VERDICT |   -- eq block: older contentHash Y first, newer X second; request X
S10  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, False, 'off-chain-only', 'tx_sim_e', 100, True, 'persisted') | FLIP VERDICT |   -- eq block: older REAL tx first, newer tx_sim_ second
S11  | (200, 1, False, 'off-chain-only', 'tx_sim_a', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') | FLIP VERDICT |   -- eq block: older tx_sim_ first, newer REAL second
S12  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, False, 'off-chain-only', 'eeeeeeee', 100, True, 'persisted') | FLIP VERDICT |   -- eq block: older confirmed first, newer simulated:true second
S13  | (200, 1, False, 'off-chain-only', 'aaaaaaaa', 0, True, 'persisted') | (200, 1, False, 'off-chain-only', 'eeeeeeee', 0, True, 'persisted') | FLIP |   -- null vs 0 blockNumber, both confirmed, older first
S14  | (200, 1, False, 'off-chain-only', 'aaaaaaaa', '100', True, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') | FLIP VERDICT |   -- string '100' vs number 100, older first
S15  | (200, 1, False, 'off-chain-only', 'aaaaaaaa', 'abc', True, 'persisted') | (200, 1, False, 'off-chain-only', 'aaaaaaaa', 'abc', True, 'persisted') |  |   -- non-numeric 'abc' vs 100 (NaN comparator), older first
S16  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') |  |   -- tie on BOTH block and confirmedAt
S17  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') |  |   -- epoch-0 date first vs missing second
S18  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') | FLIP |   -- pre-1970 date first vs missing second
S19  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') | FLIP |   -- invalid date string first vs dated second
S20  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') | FLIP |   -- numeric epoch-ms confirmedAt (newer) first vs ISO older second
S21  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') |  |   -- legacy non-ISO 'June 1, 2026' first vs ISO Jan second
S22  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') |  | TZ-DEP head-syd eeeeeeee base-syd aaaaaaaa  -- offset-LESS '2026-06-01T05:00:00' (local time) first vs '2026-06-01T00:00:00Z' second — TZ-dependent
S23  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') |  |   -- snake_case block_number/confirmed_at, eq block, older first
S24  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') |  |   -- snake_case, HIGHER block listed second
S25  | (200, 1, True, 'on-chain', 'aaaaaaaa', 101, True, 'persisted') | (200, 1, True, 'on-chain', 'aaaaaaaa', 101, True, 'persisted') |  |   -- three rows: 101 Jan first, 100 Dec, 100 Jun
S26  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') |  |   -- single row control
S27  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 100, True, 'persisted') | FLIP |   -- offset ISO '2026-06-01T10:00:00+10:00' (=00:00Z) first vs '2026-06-01T00:30:00Z' second
S28  | (200, 1, True, 'on-chain', 'eeeeeeee', 101, True, 'persisted') | (200, 1, True, 'on-chain', 'eeeeeeee', 101, True, 'persisted') |  |   -- higher block listed second, older date (block beats date)
S29  | (200, 1, True, 'on-chain', 'aaaaaaaa', 100, True, 'persisted') | (200, 1, False, 'off-chain-only', 'eeeeeeee', 100, True, 'persisted') | FLIP VERDICT |   -- eq block: older confirmed hash X first, newer FAILED second; request X
T01  | (200, 0, True, 'on-chain', '99999999', 7, True, 'persisted') | (200, 0, True, 'on-chain', '99999999', 7, True, 'persisted') |  |   -- TIER 1 answers (confirmed blob) while tier-2 rows would tie: hits must be 0
