COMMAND     PID     USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd   1059 kam_code   11u  IPv4 0x6da77bf94e38079a      0t0  TCP *:49156 (LISTEN)
rapportd   1059 kam_code   12u  IPv6 0x8b3fbd8aef753505      0t0  TCP *:49156 (LISTEN)
ARDAgent   1068 kam_code    9u  IPv6 0xa1ea03389436a278      0t0  TCP *:3283 (LISTEN)
ControlCe  1134 kam_code    9u  IPv4 0x652177865c2c5089      0t0  TCP *:7000 (LISTEN)
ControlCe  1134 kam_code   10u  IPv6 0xfedae5abeb1de0ef      0t0  TCP *:7000 (LISTEN)
ControlCe  1134 kam_code   11u  IPv4 0x916a820063e09b58      0t0  TCP *:5000 (LISTEN)
ControlCe  1134 kam_code   12u  IPv6 0xf32fd4fcf7a4c801      0t0  TCP *:5000 (LISTEN)
logioptio  2441 kam_code   26u  IPv4  0x3fa54d17d979318      0t0  TCP *:59869 (LISTEN)
postgres   2442 kam_code    7u  IPv6  0xa18e2ae68ef6256      0t0  TCP [::1]:5432 (LISTEN)
postgres   2442 kam_code    8u  IPv4 0x2d6f93c60f0e5af8      0t0  TCP 127.0.0.1:5432 (LISTEN)
LogiPlugi  2597 kam_code  296u  IPv4  0xbb254feade9efba      0t0  TCP 127.0.0.1:49347 (LISTEN)
LogiPlugi  2597 kam_code  299u  IPv4 0x7298bcc06ab68f84      0t0  TCP 127.0.0.1:49348 (LISTEN)
LogiPlugi  2597 kam_code  357u  IPv4 0xabee907e4fa8747b      0t0  TCP 127.0.0.1:49360 (LISTEN)
node       3490 kam_code   13u  IPv4 0xfd10015c73fa7de0      0t0  TCP 127.0.0.1:52027 (LISTEN)
node       3490 kam_code   14u  IPv4 0x1e9b86e8e09c0980      0t0  TCP 127.0.0.1:52256 (LISTEN)
IPNExtens 11946 kam_code   15u  IPv4 0x83d450a40e407049      0t0  TCP 127.0.0.1:49867 (LISTEN)
Python    12233 kam_code    3u  IPv4 0x7a78dda31a0cc2a4      0t0  TCP 127.0.0.1:47787 (LISTEN)
ollama    42383 kam_code    4u  IPv4 0xe2d1c72f7cd5dfa1      0t0  TCP 127.0.0.1:11434 (LISTEN)
