head verdictExported function jwksFetches 362 captured 441 rows test/prod/grace/limiter 162 161 6 7
merged17r2 verdictExported function jwksFetches 362 captured 720 rows test/prod/grace/limiter 162 161 6 7
=== test
D01 origin POST                    POST  /api/gdpr/erasures                           noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D01 origin POST                    POST  /api/gdpr/erasures                           scope           | 200 h1 POST /api/gdpr/erasures || 200 h1 POST /api/gdpr/erasures
D01 origin POST                    POST  /api/gdpr/erasures                           user            | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D01 origin POST                    POST  /api/gdpr/erasures                           none            | 401/UNAUTHORIZED h0 || 401/UNAUTHORIZED h0
D01 origin POST                    POST  /api/gdpr/erasures                           noemail_noscope | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D01 origin POST                    POST  /api/gdpr/erasures                           noemail_scope   | 500/INTERNAL_ERROR h0 || 500/INTERNAL_ERROR h0
D02 origin GET ref                 GET   /api/gdpr/erasures/abc                       noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D02 origin GET ref                 GET   /api/gdpr/erasures/abc                       scope           | 200 h1 GET /api/gdpr/erasures/abc || 200 h1 GET /api/gdpr/erasures/abc
D03 abs POST                       POST  http://127.0.0.1/api/gdpr/erasures           noscope         | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D03 abs POST                       POST  http://127.0.0.1/api/gdpr/erasures           scope           | 200 h1 POST /api/gdpr/erasures || 200 h1 POST /api/gdpr/erasures
D03 abs POST                       POST  http://127.0.0.1/api/gdpr/erasures           user            | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
D03 abs POST                       POST  http://127.0.0.1/api/gdpr/erasures           none            | 401/UNAUTHORIZED h0 || 401/UNAUTHORIZED h0
D03 abs POST                       POST  http://127.0.0.1/api/gdpr/erasures           noemail_noscope | 403/INSUFFICIENT_SCOPE h0 || 403/INSUFFICIENT_SCOPE h0
