drafter_extra_table 2026-09-17 17:05:27 AEST
== test
  X01 erasures/%2e                   noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X01 erasures/%2e                   scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/gdpr/erasures/%2e               | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X02 erasures/abc/%2e%2e            noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X02 erasures/abc/%2e%2e            scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/gdpr/erasures/abc/%2e%2e        | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X03 erasures/..%3bx                noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X03 erasures/..%3bx                scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/gdpr/erasures/..%3bx            | r2 200 - 1 GET /api/gdpr/erasures/..%3bx            
  X04 erasures/%2e%2e;x=1            noscope          | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/gdpr/erasures/%2e%2e;x=1        | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X04 erasures/%2e%2e;x=1            scope            | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/gdpr/erasures/%2e%2e;x=1        | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X05 Erasures/%2e                   noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X05 Erasures/%2e                   scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/gdpr/Erasures/%2e               | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X06 ./erasures/..                  noscope          | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/gdpr/./erasures/..              | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X06 ./erasures/..                  scope            | verdict r1 not-door     r2 undetermined | r1 200 - 1 GET /api/gdpr/./erasures/..              | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X07 erasures/./abc                 noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X07 erasures/./abc                 scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/gdpr/erasures/./abc             | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X08 erasures/abc/.                 noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X08 erasures/abc/.                 scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/gdpr/erasures/abc/.             | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X09 erasures/...                   noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X09 erasures/...                   scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/gdpr/erasures/...               | r2 200 - 1 GET /api/gdpr/erasures/...               
  X10 erasures/%2e%2e%2e             noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X10 erasures/%2e%2e%2e             scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/gdpr/erasures/%2e%2e%2e         | r2 200 - 1 GET /api/gdpr/erasures/%2e%2e%2e         
  X11 erasures/.ref                  noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X11 erasures/.ref                  scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/gdpr/erasures/.ref              | r2 200 - 1 GET /api/gdpr/erasures/.ref              
  X12 erasures/a.b                   noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X12 erasures/a.b                   scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/gdpr/erasures/a.b               | r2 200 - 1 GET /api/gdpr/erasures/a.b               
  X13 erasures/abc.                  noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X13 erasures/abc.                  scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/gdpr/erasures/abc.              | r2 200 - 1 GET /api/gdpr/erasures/abc.              
  X14 erasures/ref..v2               noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X14 erasures/ref..v2               scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/gdpr/erasures/ref..v2           | r2 200 - 1 GET /api/gdpr/erasures/ref..v2           
  X15 erasures/%2E                   noscope          | verdict r1 door         r2 undetermined | r1 403 INSUFFICIENT_SCOPE 0                         | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X15 erasures/%2E                   scope            | verdict r1 door         r2 undetermined | r1 200 - 1 GET /api/gdpr/erasures/%2E               | r2 400 NON_CANONICAL_PATH 0                         << CHANGED
  X16 erasures/..%00                 noscope          | verdict r1 door         r2 door         | r1 403 INSUFFICIENT_SCOPE 0                         | r2 403 INSUFFICIENT_SCOPE 0                         
  X16 erasures/..%00                 scope            | verdict r1 door         r2 door         | r1 200 - 1 GET /api/gdpr/erasures/..%00             | r2 200 - 1 GET /api/gdpr/erasures/..%00             
