ROOT OTHER node_modules/@types/chai dev->dev ['integrity', 'resolved'] ('5.2.3', '5.2.3')
ROOT OTHER node_modules/@types/deep-eql dev->dev ['integrity', 'resolved'] ('4.0.2', '4.0.2')
ROOT OTHER node_modules/@vitest/mocker/node_modules/estree-walker dev->dev ['integrity', 'resolved'] ('3.0.3', '3.0.3')
ROOT OTHER node_modules/assertion-error dev->dev ['integrity', 'resolved'] ('2.0.1', '2.0.1')
ROOT OTHER node_modules/chai dev->dev ['integrity', 'resolved'] ('6.2.2', '6.2.2')
ROOT OTHER services/analytics PROD->PROD ['devDependencies'] ('1.0.0', '1.0.0')
ROOT OTHER services/guardian PROD->PROD ['devDependencies'] ('0.1.0', '0.1.0')
ROOT OTHER services/kyc PROD->PROD ['devDependencies'] ('0.1.0', '0.1.0')
ROOT OTHER services/m365-integration PROD->PROD ['devDependencies'] ('0.1.0', '0.1.0')
ROOT OTHER services/mcp-server PROD->PROD ['devDependencies'] ('1.0.0', '1.0.0')
ROOT OTHER services/nft-certificate PROD->PROD ['devDependencies'] ('1.0.0', '1.0.0')
ROOT OTHER services/prism PROD->PROD ['devDependencies'] ('0.1.0', '0.1.0')
ROOT OTHER services/queue PROD->PROD ['devDependencies'] ('0.1.0', '0.1.0')
ROOT OTHER services/referral PROD->PROD ['devDependencies'] ('0.1.0', '0.1.0')
ROOT OTHER services/security PROD->PROD ['devDependencies'] ('0.1.0', '0.1.0')
ROOT OTHER services/tenant-provisioning PROD->PROD ['devDependencies'] ('1.0.0', '1.0.0')
ROOT OTHER services/timestamping PROD->PROD ['devDependencies'] ('0.1.0', '0.1.0')
ROOT OTHER services/tokenisation PROD->PROD ['devDependencies'] ('1.0.0', '1.0.0')
ROOT OTHER services/vc-issuer PROD->PROD ['devDependencies'] ('0.1.0', '0.1.0')
ROOT OTHER services/wallet-connector PROD->PROD ['devDependencies'] ('1.0.0', '1.0.0')
OTHER class transitions across 27 locks: {'dev->dev': 233, 'PROD->PROD': 30, 'dev,optional->ABSENT': 133, 'ABSENT->dev,optional': 22, 'dev,optional->dev,optional': 528, 'dev,optional,peer->ABSENT': 3}
