S01_failonly               {"passed":0,"failed":1}
S02_skiponly               {"passed":0,"failed":0}
S03_todoonly               {"passed":0,"failed":0}
S04_xfailonly              {"passed":0,"failed":0}
S05_xfail_pass             {"passed":1,"failed":0}
S06_fail_pass_skip         {"passed":1,"failed":1}
S07_passonly               {"passed":1,"failed":0}
S08_multifile              {"passed":1,"failed":1}
S09_allfailed              {"passed":0,"failed":3}
S10_everylabel             {"passed":2,"failed":2}
S11_orient                 {"passed":3,"failed":2}
S12_beforeall              {"passed":0,"failed":0}
S13_lookalike_stdout       {"passed":1,"failed":1}
S14_lookalike_stderr       {"passed":5,"failed":0}
S15_notests                null
S16_ctxskip                {"passed":1,"failed":0}
S17_xfail_unexpectedpass   {"passed":1,"failed":1}
S18_importerror            null
S19_diffcontext            {"passed":9,"failed":0}
rc=0
