COMMAND     PID     USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd   1128 kam_code   11u  IPv4 0xba3bdaec1fd180a8      0t0  TCP *:49211 (LISTEN)
rapportd   1128 kam_code   13u  IPv6 0x6517b73eb11aadb0      0t0  TCP *:49211 (LISTEN)
ARDAgent   1135 kam_code    9u  IPv6 0xd7b61f894f6f33e9      0t0  TCP *:3283 (LISTEN)
ControlCe  1158 kam_code   10u  IPv4 0x4fbd98da1f00a21b      0t0  TCP *:7000 (LISTEN)
ControlCe  1158 kam_code   11u  IPv6 0x5b259bfc18003ab4      0t0  TCP *:7000 (LISTEN)
ControlCe  1158 kam_code   12u  IPv4 0x57a723f3b6c01686      0t0  TCP *:5000 (LISTEN)
ControlCe  1158 kam_code   13u  IPv6 0x148f753060b08c9e      0t0  TCP *:5000 (LISTEN)
sharingd   1167 kam_code   32u  IPv6 0x867a2af9d2280e33      0t0  TCP *:8770 (LISTEN)
logioptio  1276 kam_code   46u  IPv4 0xf293a7978b5e7c14      0t0  TCP *:59869 (LISTEN)
postgres   1278 kam_code    7u  IPv6 0x963d8e0753545f05      0t0  TCP [::1]:5432 (LISTEN)
postgres   1278 kam_code    8u  IPv4 0x6643383a02c7fd8a      0t0  TCP 127.0.0.1:5432 (LISTEN)
Spotify    1394 kam_code   54u  IPv4 0x5421ddd017bb152f      0t0  TCP *:51380 (LISTEN)
Spotify    1394 kam_code   81u  IPv4 0xe4450616a135b7ed      0t0  TCP 127.0.0.1:7768 (LISTEN)
Spotify    1394 kam_code  202u  IPv4 0x2f4e2e828a2ca791      0t0  TCP *:57621 (LISTEN)
LogiPlugi  1772 kam_code  296u  IPv4 0x1f1159c028fbaf46      0t0  TCP 127.0.0.1:49318 (LISTEN)
LogiPlugi  1772 kam_code  307u  IPv4 0x27b72151df9704eb      0t0  TCP 127.0.0.1:49330 (LISTEN)
LogiPlugi  1772 kam_code  357u  IPv4 0x882a4cb8a3dd0a5a      0t0  TCP 127.0.0.1:49356 (LISTEN)
IPNExtens  4681 kam_code   15u  IPv4 0xe75e9f0f25d9ced8      0t0  TCP 127.0.0.1:49899 (LISTEN)
Python     5085 kam_code    3u  IPv4 0x6183bff51c649bf0      0t0  TCP 127.0.0.1:47787 (LISTEN)
node      33060 kam_code   12u  IPv4 0xc7f29a054b468a86      0t0  TCP 127.0.0.1:59447 (LISTEN)
node      33111 kam_code   12u  IPv4 0x16c1bbbfb7ecd594      0t0  TCP 127.0.0.1:59451 (LISTEN)
node      33160 kam_code   12u  IPv4 0x7e1f22bfe195c753      0t0  TCP 127.0.0.1:59455 (LISTEN)
node      33207 kam_code   12u  IPv4 0x2d23e2aaac8d6fb6      0t0  TCP 127.0.0.1:59459 (LISTEN)
node      42407 kam_code   12u  IPv4 0x4cb2651d6e9ed679      0t0  TCP 127.0.0.1:61239 (LISTEN)
node      42459 kam_code   12u  IPv4 0x2a57c4dac18ae939      0t0  TCP 127.0.0.1:61243 (LISTEN)
node      42510 kam_code   12u  IPv4 0x6978efaac69c5b9f      0t0  TCP 127.0.0.1:61248 (LISTEN)
node      42557 kam_code   12u  IPv4 0x4b38f39751534a31      0t0  TCP 127.0.0.1:61253 (LISTEN)
node      46014 kam_code   14u  IPv4 0x4280344252441f1f      0t0  TCP 127.0.0.1:61311 (LISTEN)
node      46174 kam_code   14u  IPv4 0x610c94603458c67e      0t0  TCP 127.0.0.1:61316 (LISTEN)
node      46231 kam_code   14u  IPv4 0xe01af7cae2583b17      0t0  TCP 127.0.0.1:61323 (LISTEN)
node      46289 kam_code   14u  IPv4 0xdf63af3ff05a670a      0t0  TCP 127.0.0.1:61329 (LISTEN)
nvsync-ar 55295 kam_code   10u  IPv4 0xda1b4c8ed64bb540      0t0  TCP 127.0.0.1:11002 (LISTEN)
nvsync-ar 55295 kam_code   11u  IPv6 0x503a993fea087516      0t0  TCP [::1]:11002 (LISTEN)
nvsync-ar 55295 kam_code   13u  IPv4 0x54b96df24575124e      0t0  TCP 127.0.0.1:11000 (LISTEN)
nvsync-ar 55295 kam_code   14u  IPv6 0xdec0243a5eb489f7      0t0  TCP [::1]:11000 (LISTEN)
ssh       74700 kam_code    8u  IPv6 0xf44c274b145ebb3a      0t0  TCP [::1]:47788 (LISTEN)
ssh       74700 kam_code    9u  IPv4 0xd8ce72b992e1fcbf      0t0  TCP 127.0.0.1:47788 (LISTEN)
node      83636 kam_code   12u  IPv4 0x42b76e40fbac5126      0t0  TCP 127.0.0.1:60209 (LISTEN)
node      83911 kam_code   12u  IPv4 0x309a7886c6cb91e2      0t0  TCP 127.0.0.1:60213 (LISTEN)
node      84068 kam_code   12u  IPv4 0x6d07197b1d9da38f      0t0  TCP 127.0.0.1:60218 (LISTEN)
node      84116 kam_code   12u  IPv4 0x3479618fd5e2ab1a      0t0  TCP 127.0.0.1:60221 (LISTEN)
node      98547 kam_code   12u  IPv4 0x5e7716fa2e7fdbec      0t0  TCP 127.0.0.1:62040 (LISTEN)
node      98632 kam_code   12u  IPv4 0x4ffa38badf7f071d      0t0  TCP 127.0.0.1:62045 (LISTEN)
node      98682 kam_code   12u  IPv4 0x5bda11243a2295e7      0t0  TCP 127.0.0.1:62049 (LISTEN)
node      98731 kam_code   12u  IPv4 0xd82bddb7e24f7c02      0t0  TCP 127.0.0.1:62052 (LISTEN)
