linear_reads_gate26 (gate26T2) 2026-09-26T00:43:42Z
#1245 attachmentsForURL: 1 [('KS-1313', 'In Progress', 'contributes')]  | own keys ['KS-1313'] | linked as `closes`: none | own key with NO link: none
#1268 attachmentsForURL: 3 [('KS-1142', 'In Progress', 'contributes'), ('KS-1316', 'In Progress', 'contributes'), ('KS-1318', 'In Progress', 'contributes')]  | own keys ['KS-1318', 'KS-1142', 'KS-1316'] | linked as `closes`: none | own key with NO link: none
#1275 attachmentsForURL: 1 [('KS-1179', 'In Progress', 'contributes')]  | own keys ['KS-1179'] | linked as `closes`: none | own key with NO link: none
#1276 attachmentsForURL: 1 [('KS-794', 'In Progress', 'contributes')]  | own keys ['KS-794'] | linked as `closes`: none | own key with NO link: none
#1277 attachmentsForURL: 1 [('KS-1319', 'In Progress', 'contributes')]  | own keys ['KS-1319'] | linked as `closes`: none | own key with NO link: none
#1278 attachmentsForURL: 1 [('KS-1314', 'In Progress', 'contributes')]  | own keys ['KS-1314'] | linked as `closes`: none | own key with NO link: none
#1279 attachmentsForURL: 1 [('KS-1306', 'In Progress', 'contributes')]  | own keys ['KS-1306'] | linked as `closes`: none | own key with NO link: none
KS-1313 state=In Progress archivedAt=None comments=3 newest=[('7f3989cd-8428-4868-addb-1f3c465699dc', '2026-09-25T15:46:41.695Z'), ('939113f8-6929-4ef1-ad86-2b63f607e37b', '2026-09-25T21:42:14.566Z')] | KS-1226 residue: readSuiteCounts is null on real fail-only, skip-only and todo-only lines
KS-1318 state=In Progress archivedAt=None comments=2 newest=[('ff0c24f1-e34b-4a64-8acb-0ee8dd04a349', '2026-09-25T19:12:07.187Z'), ('1a7a907e-40c5-42d5-a8fe-bb8b38fae0c5', '2026-09-26T00:36:49.463Z')] | ks781 J2: the combined default-shapes control asserts the COUNT of shapes, not which shapes
KS-1142 state=In Progress archivedAt=None comments=2 newest=[('4df54372-bac2-4c37-ba69-3ab3408ac683', '2026-09-25T19:12:07.978Z'), ('e244f759-f76f-45cb-9eab-6a3374779bc1', '2026-09-26T00:36:49.925Z')] | Entrypoint corpus is pinned by TWO hand-maintained literals in two files — K1's 27-package presence set (`entrypoint-corpus.test.ts`) and ks
KS-1316 state=In Progress archivedAt=None comments=2 newest=[('3efe2234-b052-4dc1-996f-95580e857b79', '2026-09-25T19:12:09.733Z'), ('f6f86614-a00f-41f8-87e2-78ab46d3ffa9', '2026-09-26T00:36:49.018Z')] | ks781 LEG F: a guard DEFINED but never called inside the parser continuation still reads guarded true (over-reports)
KS-1179 state=In Progress archivedAt=None comments=2 newest=[('5e81805e-2909-4ac6-b1de-2dd1fa0fd03b', '2026-09-25T07:18:03.095Z'), ('57b44b9d-d0a3-4506-9859-6add0cb4fcad', '2026-09-25T20:01:35.920Z')] | safeOutboundRequest tests: no cell pins DNS-layer classification, ks932 cells depend on 203.0.113.7 hanging, DNS timer left armed (KS-932 ga
KS-794 state=In Progress archivedAt=None comments=3 newest=[('e292d789-444c-45c2-bc52-0368ae0d9468', '2026-09-14T09:36:49.692Z'), ('73d67bbc-6cba-480e-a696-19858c3eeace', '2026-09-25T20:09:45.793Z')] | verify-file returns `fileSize` on every 200 and neither response schema declares it
KS-1319 state=In Progress archivedAt=None comments=1 newest=[('f845fa21-e421-48c1-9baa-7076b8170801', '2026-09-25T20:16:07.192Z')] | walkTimeouts guard: the wiring pin passes on a commented-out line, and the derivation misses nested and async tree-walkers
KS-1314 state=In Progress archivedAt=None comments=1 newest=[('e75da7da-37ee-4e72-b676-609fdd262f15', '2026-09-25T20:24:10.168Z')] | readYaml routing cells: a multi-line import evades parserImportSites (prettier produces it), the loaders are unpinned, and the canary pays a
KS-1306 state=In Progress archivedAt=None comments=1 newest=[('b6e8605f-d3b5-4dd0-82da-025aa3ab180a', '2026-09-25T20:32:58.728Z')] | KS-980 N-1: the role-attribute cell reads rolbypassrls only, so a superuser on the admin path is not caught by it
KS-1329 state=Backlog archivedAt=None comments=0 newest=[] | packages/shared does not type-check src/__tests__, hiding 10 errors — add a test-inclusive tsc leg and fix them
KS-1300 state=In Progress archivedAt=None comments=2 newest=[('43f16c80-df62-46c1-be52-5c10bc380688', '2026-09-25T13:26:50.830Z'), ('ba75ab29-1a02-4bbc-a031-1ef648769917', '2026-09-25T15:35:52.931Z')] | k6 readYaml adoption: the unit suite that proves it is run by no gate, and three coverage gaps the new self-read cells leave
